Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,attempted take ons,Succ,Match Report
06-04-2019,Sat,Bundesliga,Matchweek 28,Home,L 2–4,Leverkusen,RB Leipzig,Y,"RW,RM",90,2,0,1,1,1,1,0,0,63,0,0,2,0.8,0,0,2,0,40,50,80,3,35,3,4,2,Match Report
13-04-2019,Sat,Bundesliga,Matchweek 29,Away,W 1–0,Leverkusen,Stuttgart,Y,RW,90,1,0,1,1,4,0,0,0,70,0,0,1,1.4,0.6,0.1,7,1,48,55,87.3,7,41,5,1,1,Match Report
20-04-2019,Sat,Bundesliga,Matchweek 30,Home,W 2–0,Leverkusen,Nürnberg,Y,RW,86,0,0,0,0,4,2,0,0,80,2,0,0,0.1,0.1,0.1,7,0,63,70,90,9,50,9,3,0,Match Report
26-04-2019,Fri,Bundesliga,Matchweek 31,Away,W 4–1,Leverkusen,Augsburg,Y,RW,90,1,0,0,0,4,2,0,0,87,1,0,1,0.3,0.3,0,3,0,65,71,91.5,4,39,2,3,2,Match Report
05-05-2019,Sun,Bundesliga,Matchweek 32,Home,W 6–1,Leverkusen,Eint Frankfurt,Y,RW,90,1,0,0,0,4,3,0,0,141,0,0,2,0.9,0.9,0,1,0,116,127,91.3,9,74,2,4,2,Match Report
11-05-2019,Sat,Bundesliga,Matchweek 33,Home,D 1–1,Leverkusen,Schalke 04,Y,RW,90,1,0,0,0,4,3,0,0,81,0,0,1,0.5,0.5,0.8,6,0,58,65,89.2,7,49,5,5,3,Match Report
18-05-2019,Sat,Bundesliga,Matchweek 34,Away,W 5–1,Leverkusen,Hertha BSC,Y,AM,90,1,0,0,0,2,1,0,0,86,0,0,0,0.3,0.3,0,3,1,73,80,91.3,8,60,4,0,0,Match Report
09-09-2017,Sat,Bundesliga,Matchweek 3,Away,L 1–3,Leverkusen,Mainz 05,N,AM,35,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,1,0,8,14,57.1,0,11,0,1,1,Match Report
17-09-2017,Sun,Bundesliga,Matchweek 4,Home,W 4–0,Leverkusen,Freiburg,Y,FW,90,0,0,0,0,4,1,0,0,61,1,0,2,0.2,0.2,0,6,1,34,45,75.6,8,38,3,8,3,Match Report
20-09-2017,Wed,Bundesliga,Matchweek 5,Away,L 1–2,Leverkusen,Hertha BSC,Y,FW,90,0,0,0,0,0,0,0,0,39,2,0,2,0,0,0,1,0,20,30,66.7,2,21,1,0,0,Match Report
29-09-2017,Fri,Bundesliga,Matchweek 7,Away,D 1–1,Leverkusen,Schalke 04,N,"DM,LW",45,0,0,0,0,0,0,1,0,27,0,0,1,0,0,0,0,0,18,23,78.3,2,19,0,0,0,Match Report
15-10-2017,Sun,Bundesliga,Matchweek 8,Home,D 2–2,Leverkusen,Wolfsburg,N,DM,17,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,12,91.7,4,10,1,0,0,Match Report
21-10-2017,Sat,Bundesliga,Matchweek 9,Away,W 5–1,Leverkusen,Gladbach,Y,AM,90,0,3,0,0,1,0,0,0,38,1,0,0,0.1,0.1,0.5,4,4,28,35,80,5,26,0,0,0,Match Report
28-10-2017,Sat,Bundesliga,Matchweek 10,Home,W 2–1,Leverkusen,Köln,Y,AM,45,0,0,0,0,2,0,0,0,36,0,0,0,0.1,0.1,0,0,0,23,29,79.3,4,29,2,1,1,Match Report
04-11-2017,Sat,Bundesliga,Matchweek 11,Away,D 1–1,Leverkusen,Augsburg,Y,AM,90,0,0,0,0,1,0,0,0,61,0,2,3,0.1,0.1,0,5,0,38,50,76,9,39,1,8,5,Match Report
18-11-2017,Sat,Bundesliga,Matchweek 12,Home,D 2–2,Leverkusen,RB Leipzig,Y,AM,90,0,0,0,0,2,0,0,0,50,4,1,2,0.2,0.2,0,2,0,35,40,87.5,5,32,4,2,2,Match Report
25-11-2017,Sat,Bundesliga,Matchweek 13,Away,W 1–0,Leverkusen,Eint Frankfurt,Y,AM,90,0,0,0,0,1,1,0,0,55,2,0,2,0.1,0.1,0.1,3,1,37,45,82.2,7,33,3,2,2,Match Report
02-12-2017,Sat,Bundesliga,Matchweek 14,Home,D 1–1,Leverkusen,Dortmund,Y,AM,90,0,1,0,0,1,0,1,0,50,2,1,1,0.1,0.1,0.7,4,1,19,34,55.9,5,23,3,3,1,Match Report
08-12-2017,Fri,Bundesliga,Matchweek 15,Away,W 2–0,Leverkusen,Stuttgart,Y,AM,90,1,0,0,0,1,1,1,0,64,1,0,4,0.3,0.3,0,3,0,39,53,73.6,5,44,1,3,2,Match Report
13-12-2017,Wed,Bundesliga,Matchweek 16,Home,W 1–0,Leverkusen,Werder Bremen,N,AM,24,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,1,0,9,17,52.9,2,6,0,0,0,Match Report
17-12-2017,Sun,Bundesliga,Matchweek 17,Away,D 4–4,Leverkusen,Hannover 96,Y,DM,90,0,1,0,0,2,2,0,0,59,2,2,1,0.1,0.1,0.4,6,1,42,49,85.7,9,38,4,0,0,Match Report
12-01-2018,Fri,Bundesliga,Matchweek 18,Home,L 1–3,Leverkusen,Bayern Munich,Y,"AM,CM",90,0,1,0,0,0,0,0,0,58,1,3,1,0,0,0.2,5,1,32,45,71.1,4,26,2,1,0,Match Report
28-01-2018,Sun,Bundesliga,Matchweek 20,Home,W 2–0,Leverkusen,Mainz 05,N,RW,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,6,7,85.7,2,6,0,0,0,Match Report
03-02-2018,Sat,Bundesliga,Matchweek 21,Away,D 0–0,Leverkusen,Freiburg,Y,AM,90,0,0,0,0,0,0,0,0,56,1,1,2,0,0,0.2,5,0,39,49,79.6,3,33,4,0,0,Match Report
10-02-2018,Sat,Bundesliga,Matchweek 22,Home,L 0–2,Leverkusen,Hertha BSC,N,LW,24,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,11,12,91.7,2,12,1,2,1,Match Report
17-02-2018,Sat,Bundesliga,Matchweek 23,Away,W 2–1,Leverkusen,Hamburger SV,Y,AM,87,1,0,0,0,4,1,0,0,48,0,0,1,0.7,0.7,0.4,3,0,26,37,70.3,1,32,7,1,0,Match Report
25-02-2018,Sun,Bundesliga,Matchweek 24,Home,L 0–2,Leverkusen,Schalke 04,Y,RM,90,0,0,0,0,1,1,0,0,61,3,0,0,0,0,0.1,3,0,48,53,90.6,10,38,1,0,0,Match Report
03-03-2018,Sat,Bundesliga,Matchweek 25,Away,W 2–1,Leverkusen,Wolfsburg,Y,AM,90,0,0,0,0,2,0,0,0,51,2,0,3,0.1,0.1,0,3,1,35,39,89.7,9,29,5,3,1,Match Report
10-03-2018,Sat,Bundesliga,Matchweek 26,Home,W 2–0,Leverkusen,Gladbach,Y,AM,84,0,0,0,0,2,2,0,0,55,0,0,0,0.1,0.1,0.1,4,0,40,45,88.9,10,42,3,5,2,Match Report
18-03-2018,Sun,Bundesliga,Matchweek 27,Away,L 0–2,Leverkusen,Köln,Y,AM,90,0,0,0,0,0,0,0,0,76,0,3,1,0,0,0.1,4,0,59,65,90.8,4,53,3,4,2,Match Report
31-03-2018,Sat,Bundesliga,Matchweek 28,Home,D 0–0,Leverkusen,Augsburg,N,AM,22,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0,1,0,21,26,80.8,2,23,2,2,0,Match Report
09-04-2018,Mon,Bundesliga,Matchweek 29,Away,W 4–1,Leverkusen,RB Leipzig,Y,RW,90,1,0,0,0,2,1,0,0,60,2,0,1,0.4,0.4,0.4,2,1,36,44,81.8,4,38,2,3,1,Match Report
14-04-2018,Sat,Bundesliga,Matchweek 30,Home,W 4–1,Leverkusen,Eint Frankfurt,Y,AM,86,0,2,0,0,0,0,0,0,50,1,0,2,0,0,0.7,3,2,33,41,80.5,1,36,0,1,0,Match Report
21-04-2018,Sat,Bundesliga,Matchweek 31,Away,L 0–4,Leverkusen,Dortmund,N,RW,45,0,0,0,0,2,1,0,0,35,1,0,0,0.1,0.1,0,1,0,24,28,85.7,8,27,2,3,0,Match Report
28-04-2018,Sat,Bundesliga,Matchweek 32,Home,L 0–1,Leverkusen,Stuttgart,Y,CM,90,0,0,0,0,2,1,0,0,56,1,1,0,0.1,0.1,0.1,4,0,43,48,89.6,6,46,1,1,1,Match Report
05-05-2018,Sat,Bundesliga,Matchweek 33,Away,D 0–0,Leverkusen,Werder Bremen,Y,AM,90,0,0,0,0,2,0,0,0,51,2,0,1,0.5,0.5,0,3,0,35,45,77.8,6,32,3,0,0,Match Report
12-05-2018,Sat,Bundesliga,Matchweek 34,Home,W 3–2,Leverkusen,Hannover 96,Y,AM,90,0,0,0,0,4,2,0,0,78,1,1,3,0.2,0.2,0.6,13,1,51,59,86.4,10,54,5,6,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7491,,,,,,,,,,,,,,,,,,,4349,,,,,266,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.25070084,,,,,3.195835002,,
